Team,"Player
Ratings",Level,Region,Category,Arm,Batting_Pos,Bowling_Style,"Matches
 Played",Runs,Wickets,Strike Rate,Players,Price(RS),Age,Birth_Date,Country
MI,10,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,106,56,130,100,Jasprit Bumrah,120.00M,30,1993-08-11,India
MI,9,Capped,Overseas,Bowler,Left,Middle,Spinner,215,140,106,110,Tim David,82.50M,26,1998-02-05,Singapore
MI,10,Capped,Domestic,Batter,Right,Middle,Can't Bowl,115,2341,0,143,Surya K Yadav,80.00M,34,1989-12-15,India
MI,8.5,Capped,Overseas,Bowler,Right,Tailender,Seamer,35,200,46,157,Jofra Archer,80.00M,32,1991-08-29,England
MI,10,Capped,Overseas,All_Rounder,Right,Middle,Spinner,178,3268,65,161.5,K Pollard,60.00M,41,1982-11-16,West Indies
MI,9,Uncapped,Overseas,Batter,Right,Middle,Can't Bowl,0,0,0,100,Dewald Brevis,30.00M,26,1997-04-20,South Africa
MI,8,Capped,Overseas,All_Rounder,Right,Tailender,Seamer,7,72,7,112,Daniel Sams,26.00M,29,1994-03-27,Australia
MI,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Spinner,0,0,0,100,N. Tilak Varma,17.00M,32,1991-12-31,India
MI,8,Uncapped,Domestic,Bowler,Right,Tailender,Spinner,34,50,26,100,Murugan Ashwin,16.00M,35,1989-02-18,India
MI,8,Capped,Overseas,Bowler,Right,Tailender,Seamer,17,50,16,100,Tymal Mills,15.00M,34,1990-01-15,England
MI,10,Capped,Domestic,Bowler,Right,Tailender,Seamer,86,150,85,108,Jaydev Unadkat,13.00M,34,1990-03-04,India
MI,8,Capped,Overseas,Bowler,Right,Tailender,Seamer,10,8,12,100,Riley Meredith,10.00M,28,1995-03-14,Australia
MI,9,Capped,Overseas,All_Rounder,Right,Middle,Spinner,34,280,25,136,Fabian Allen,7.50M,32,1991-07-04,West Indies
MI,8.5,Uncapped,Domestic,Bowler,Right,Tailender,Spinner,18,25,16,116,Mayank Markande,6.50M,30,1993-05-09,India
MI,8,Uncapped,Domestic,All_Rounder,Right,Middle,Spinner,0,0,0,100,Sanjay Yadav,5.00M,38,1986-03-08,India
MI,8,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,20,50,17,100,B Thampi,3.00M,34,1990-01-30,India
MI,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Seamer,0,0,0,100,Arjun Tendulkar,3.00M,22,2001-06-09,India
MI,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Spinner,0,0,0,100,Ramandeep Singh,2.00M,26,1997-11-06,India
MI,7,Uncapped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,0,0,0,100,Aryan Juyal,2.00M,28,1996-02-20,India
MI,7,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Rahul Buddhi,2.00M,25,1998-10-03,India
MI,7,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Hrithik Shokeen,2.00M,24,1999-05-12,India
MI,17,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Mohd. Ashrad Khan,2.00M,23,2000-05-02,India
PBK,10,Capped,Domestic,Batter,Right,Opener,Can't Bowl,100,2135,0,136,Mayank Agrwal,120.00M,33,1990-04-09,India
PBK,9.5,Capped,Overseas,All_Rounder,Right,Middle,Spinner,28,397,12,150,Liam Livingstone,115.00M,30,1993-03-26,England
PBK,10,Capped,Overseas,Bowler,Right,Tailender,Seamer,50,138,76,102,K Rabada,92.50M,24,1999-10-21,South Africa
PBK,9,Uncapped,Domestic,All_Rounder,Right,Middle,Spinner,11,153,0,134,Shahrukh Khan,90.00M,26,1997-12-10,India
PBK,10,Capped,Domestic,Batter,Left,Opener,Can't Bowl,192,5783,0,130,Shikhar Dhawan,82.50M,37,1986-12-10,India
PBK,10,Capped,Overseas,Wicket_Keeper,Right,Opener,Can't Bowl,28,1033,0,142,Jonny Bairstow,67.50M,34,1989-10-22,England
PBK,10,Capped,Overseas,All_Rounder,Right,Middle,Spinner,10,53,7,157,Odean Smith,60.00M,28,1996-02-04,West Indies
PBK,9,Capped,Domestic,Bowler,Left,Tailender,Spinner,42,31,43,109,Rahul Chahar,52.50M,30,1993-09-14,India
PBK,9.5,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,23,2,30,121,Arshdeep Singh,40.00M,27,1997-01-26,India
PBK,8,Uncapped,Domestic,All_Rounder,Right,Tailender,Spinner,10,84,5,120,Harpreet Brar,38.00M,31,1992-05-09,India
PBK,8,Uncapped,Domestic,All_Rounder,Right,Middle,Spinner,0,0,0,100,Raj Angad Bawa,20.00M,20,2003-09-22,India
PBK,8,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Vaibhav Arora,20.00M,21,2002-11-14,India
